GEOID,STATUS,SITE
42061,Completed,www.muckrock.com/foi/huntingdon-county-27286/civic-address-dataset-46076/
42031,Awaiting Response,www.muckrock.com/foi/clarion-county-27271/civic-address-dataset-46080/
26085,Withdrawn,www.muckrock.com/foi/lake-county-16706/lake-mi-civic-address-data-46218/
26011,Awaiting Response,www.muckrock.com/foi/arenac-county-16669/arenac-mi-civic-address-data-46222/
05021,No Responsive Documents,www.muckrock.com/foi/clay-county-9592/roscommon-mi-civic-address-data-46268/
05067,Processing,www.muckrock.com/foi/jackson-county-9614/jackson-ar-civic-address-data-46271/
26085,Awaiting Acknowledgement,www.muckrock.com/foi/lake-county-16706/lake-mi-gis-data-distribution-46423/
42115,Awaiting Response,www.muckrock.com/foi/susquehanna-county-27312/civic-address-dataset-46048/
42107,Awaiting Response,www.muckrock.com/foi/schuylkill-county-27308/civic-address-dataset-46068/
42063,Awaiting Response,www.muckrock.com/foi/indiana-county-27287/civic-address-dataset-46083/
26119,Awaiting Response,www.muckrock.com/foi/montmorency-county-16723/montmorency-mi-civic-address-data-46201/
26007,Awaiting Response,www.muckrock.com/foi/alpena-county-16667/alpena-mi-civic-address-data-46202/
26089,Awaiting Response,www.muckrock.com/foi/leelanau-county-16708/leelanau-mi-civic-address-data-46203/
26039,Awaiting Response,www.muckrock.com/foi/crawford-county-16683/crawford-mi-civic-address-data-46206/
26101,Awaiting Response,www.muckrock.com/foi/manistee-county-16714/manistee-mi-civic-address-data-46211/
26165,Withdrawn,www.muckrock.com/foi/wexford-county-16746/wexford-mi-civic-address-data-46212/
26129,Fix Required,www.muckrock.com/foi/ogemaw-county-16728/ogemaw-mi-civic-address-data-46215/
26105,Completed,www.muckrock.com/foi/mason-county-16716/mason-mi-civic-address-data-46217/
06091,Awaiting Response,www.muckrock.com/foi/sierra-county-3068/sierra-ca-civic-address-data-46279/
06093,Completed,www.muckrock.com/foi/siskiyou-county-3069/siskiyou-ca-civic-address-data-46280/
26165,Awaiting Acknowledgement,www.muckrock.com/foi/wexford-county-16746/wexford-mi-gis-data-distribution-46368/
26127,Processing,www.muckrock.com/foi/oceana-county-16727/oceana-mi-civic-address-data-46373/
26107,Processing,www.muckrock.com/foi/mecosta-county-16717/mecosta-mi-civic-address-data-46374/
26073,Processing,www.muckrock.com/foi/isabella-county-16700/isabella-mi-civic-address-data-46375/
26111,Processing,www.muckrock.com/foi/midland-county-16719/midland-mi-civic-address-data-46376/
26017,Processing,www.muckrock.com/foi/bay-county-16672/bay-mi-civic-address-data-46377/
26063,Processing,www.muckrock.com/foi/huron-county-16695/huron-mi-civic-address-data-46378/
26057,Processing,www.muckrock.com/foi/gratiot-county-16692/gratiot-mi-civic-address-data-46379/
26057,Processing,www.muckrock.com/foi/gratiot-county-16692/saginaw-mi-civic-address-data-46380/
26157,Processing,www.muckrock.com/foi/tuscola-county-16742/tuscola-mi-civic-address-data-46381/
26151,Processing,www.muckrock.com/foi/sanilac-county-16739/sanilac-mi-civic-address-data-46382/
26087,Processing,www.muckrock.com/foi/lapeer-county-16707/lapeer-mi-civic-address-data-46383/
26155,Processing,www.muckrock.com/foi/shiawassee-county-16741/shiawassee-mi-civic-address-data-46384/
26037,Processing,www.muckrock.com/foi/clinton-county-16682/clinton-mi-civic-address-data-46385/
26067,Processing,www.muckrock.com/foi/ionia-county-16697/ionia-mi-civic-address-data-46386/
26005,Processing,www.muckrock.com/foi/allegan-county-16666/allegan-mi-civic-address-data-46387/
26015,Processing,www.muckrock.com/foi/barry-county-16671/barry-mi-civic-address-data-46388/
26065,Processing,www.muckrock.com/foi/ingham-county-16696/ingham-mi-civic-address-data-46389/
26093,Processing,www.muckrock.com/foi/livingston-county-16710/livingston-mi-civic-address-data-46390/
26163,Processing,www.muckrock.com/foi/wayne-county-16745/wayne-mi-civic-address-data-46391/
26075,Processing,www.muckrock.com/foi/jackson-county-16701/jackson-mi-civic-address-data-46392/
26025,Processing,www.muckrock.com/foi/calhoun-county-16676/calhoun-mi-civic-address-data-46393/
26077,Processing,www.muckrock.com/foi/kalamazoo-county-16702/kalamazoo-mi-civic-address-data-46394/
26159,Processing,www.muckrock.com/foi/van-buren-county-16743/van-buren-mi-civic-address-data-46395/
26021,Processing,www.muckrock.com/foi/berrien-county-16674/berrien-mi-civic-address-data-46396/
26027,Processing,www.muckrock.com/foi/cass-county-16677/cass-mi-civic-address-data-46397/
26149,Processing,www.muckrock.com/foi/st-joseph-county-16738/st-joseph-mi-civic-address-data-46398/
26023,Processing,www.muckrock.com/foi/branch-county-16675/branch-mi-civic-address-data-46400/
26059,Processing,www.muckrock.com/foi/hillsdale-county-16693/hillsdale-mi-civic-address-data-46401/
26091,Processing,www.muckrock.com/foi/lenawee-county-16709/lenawee-county-mi-civic-address-data-46402/
26115,Processing,www.muckrock.com/foi/monroe-county-16721/monroe-county-mi-civic-address-data-46403/
42123,Payment Required,www.muckrock.com/foi/warren-county-27316/civic-address-dataset-46079/
26029,Completed,www.muckrock.com/foi/charlevoix-county-16678/charlevoix-mi-civic-address-data-46198/
