GEOID,DONE
39037,yes
39039,yes
39041,yes
39043,yes
39045,yes
39047,yes
39049,yes
39051,yes
39053,yes
39057,yes
39059,yes
39061,yes
39063,yes
39065,yes
39067,yes
39069,yes
39071,yes
39073,yes
39075,yes
39077,yes
39079,yes
39081,yes
39083,yes
39085,yes
39087,yes
39089,yes
39091,yes
39095,yes
39097,yes
39099,yes
39101,yes
39103,yes
39105,yes
39107,yes
39109,yes
39111,yes
39115,yes
39117,yes
39119,yes
39121,yes
39123,yes
39125,yes
39127,yes
39129,yes
39131,yes
39133,yes
39135,yes
39137,yes
39139,yes
39141,yes
39143,yes
39147,yes
39149,yes
39151,yes
39153,yes
39095,yes
39155,yes
39157,yes
39161,yes
39163,yes
39167,yes
39169,yes
39171,yes
39173,yes
39175,yes
41003,yes
41025,yes
41039,yes
42003,yes
42007,yes
42017,yes
42019,yes
42021,yes
42029,yes
42033,yes
42041,yes
42101,yes
42109,yes
44,yes
45003,yes
45007,yes
45013,yes
45015,yes
45021,yes
45029,yes
45041,yes
45051,yes
45059,yes
45063,yes
45071,yes
45081,yes
45085,yes
45091,yes
46,yes
47089,yes
47149,yes
48041,yes
48113,yes
48121,yes
48141,yes
48215,yes
48201,yes
48329,yes
48135,yes
48085,yes
48029,yes
48439,yes
48491,yes
49013,yes
49,yes
51001,yes
51009,yes
51015,yes
51019,yes
51031,yes
51043,yes
51057,yes
51059,yes
51065,yes
51067,yes
51071,yes
51077,yes
51079,yes
51083,yes
51093,yes
51095,yes
51107,yes
51109,yes
51113,yes
51119,yes
51125,yes
51127,yes
51135,yes
51137,yes
51153,yes
51161,yes
51163,yes
51171,yes
51173,yes
51177,yes
51179,yes
51,yes
51187,yes
51195,yes
53073,yes
53007,yes
53009,yes
53017,yes
53021,yes
53029,yes
53031,yes
53033,yes
53035,yes
53045,yes
53047,yes
53049,yes
53055,yes
53033,yes
53057,yes
53061,yes
53061,yes
55001,yes
55007,yes
55009,yes
55015,yes
55021,yes
55023,yes
55025,yes
55027,yes
55031,yes
55039,yes
55045,yes
55047,yes
55051,yes
55055,yes
55057,yes
55059,yes
55061,yes
55063,yes
55069,yes
55071,yes
55073,yes
55079,yes
55085,yes
55087,yes
55089,yes
55093,yes
55097,yes
55103,yes
55105,yes
55111,yes
55121,yes
55123,yes
55125,yes
55127,yes
55133,yes
55135,yes
55137,yes
55141,yes
54029,yes
54033,yes
54077,yes
53031,yes
54,yes
56001,yes
56007,yes
56013,yes
56021,yes
56025,yes
